IDENT_NUMVEH,IDENT_MEN,NUM_VEH,pond_veh,cylindree_fin,critair,ANNEE_1mec,age,KVKM1ANV,KVCONS,energie_groupe,Pro_Perso,NEWTYPMEN,AGEPR,decile_rev,CSMEN,REG_res,STATUTCOM_UU_RES,pop_10min_voiture_train_res,DIPDETPR,NENFHORS
110000011400001,1100000114000,1,1842.9770767,1.6,3,2001,205.0,2478.9161931,7.2,VT,Perso,Personne seule,84,8,46.0,Ile-de-France,B,100,32.0,0
110000011500001,1100000115000,1,1948.3824415,1.6,2,2013,62.0,3076.1497326,5.5,VT,Perso,Couple avec au moins un enfant,45,8,56.0,Ile-de-France,B,100,51.0,0
110000011500002,1100000115000,2,1948.3824415,1.4,2,2007,128.0,3300.5605777,6.0,VT,Perso,Couple avec au moins un enfant,45,8,56.0,Ile-de-France,B,100,51.0,0
110000011600001,1100000116000,1,833.45366972,1.6,3,2004,168.0,3902.8874125,9.0,VT,Perso,Couple sans enfant,77,4,63.0,Ile-de-France,H,100,52.0,2
110000012400001,1100000124000,1,1698.1427817,1.5,2,2012,76.0,15980.511731,6.5,VT,Perso,Couple sans enfant,62,10,38.0,Ile-de-France,B,100,15.0,3
110000012500002,1100000125000,2,1994.6334961,1.5,3,2009,104.0,3349.2692109,5.7,VT,Perso,Couple sans enfant,59,7,54.0,Ile-de-France,B,100,51.0,2
110000012500001,1100000125000,1,1994.6334961,1.1,N,1997,251.0,3320.3552906,5.2,VT,Perso,Couple sans enfant,59,7,54.0,Ile-de-France,B,100,51.0,2
110000013500001,1100000135000,1,1921.6107867,1.5,3,2009,108.0,11506.571637,6.5,VT,Perso,Famille monoparentale,60,9,38.0,Ile-de-France,B,100,42.0,1
110000014400002,1100000144000,2,1653.3892259,1.0,1,2016,31.0,11027.819167,5.9,VT,Perso,Couple sans enfant,55,9,52.0,Ile-de-France,B,100,45.0,2
110000014400001,1100000144000,1,1653.3892259,2.0,1,2009,108.0,8269.1552198,8.0,VT,Perso,Couple sans enfant,55,9,52.0,Ile-de-France,B,100,45.0,2
110000014600002,1100000146000,2,2937.6634796,1.4,3,2005,160.0,12000.0,5.8,VT,Perso,Couple avec au moins un enfant,38,9,38.0,Ile-de-France,C,100,15.0,0
110000014600001,1100000146000,1,2937.6634796,1.5,2,2011,94.0,21445.12012,5.2,VT,Perso,Couple avec au moins un enfant,38,9,38.0,Ile-de-France,C,100,15.0,0
110000015400002,1100000154000,2,1824.952319,1.6,2,2017,25.0,24863.855629,7.5,VT,Pro,Couple avec au moins un enfant,48,8,37.0,Ile-de-France,B,100,32.0,3
110000015400001,1100000154000,1,1824.952319,1.6,3,2009,118.0,9766.3214266,6.5,VT,Perso,Couple avec au moins un enfant,48,8,37.0,Ile-de-France,B,100,32.0,3
110000016500002,1100000165000,2,1491.220115,1.6,2,2012,85.0,11965.564738,5.0,VT,Perso,Couple sans enfant,66,10,37.0,Ile-de-France,B,100,14.0,2
110000016500001,1100000165000,1,1491.220115,2.0,1,2015,48.0,14224.185657,6.0,VT,Perso,Couple sans enfant,66,10,37.0,Ile-de-France,B,100,14.0,2
110000022600002,1100000226000,2,2824.2395302,1.6,2,2016,23.0,17743.930119,6.0,VT,Perso,Couple avec au moins un enfant,45,10,38.0,Ile-de-France,C,100,14.0,0
110000022600001,1100000226000,1,2824.2395302,0.9,1,2015,33.0,8858.308011,6.0,VT,Perso,Couple avec au moins un enfant,45,10,38.0,Ile-de-France,C,100,14.0,0
110000022700001,1100000227000,1,1986.984991,3.6,N,1995,275.0,700.27369826,11.0,VT,Perso,Personne seule,62,10,48.0,Ile-de-France,C,100,43.0,4
110000022700002,1100000227000,2,1986.984991,2.2,4,2003,182.0,4906.3945578,7.5,VT,Perso,Personne seule,62,10,48.0,Ile-de-France,C,100,43.0,4
110000023400002,1100000234000,2,2463.0526103,1.6,2,2012,71.0,12337.199454,5.7,VT,Perso,Couple avec au moins un enfant,35,9,46.0,Ile-de-France,B,100,35.0,0
110000023400001,1100000234000,1,2463.0526103,1.5,3,2011,84.0,10223.422967,6.5,VT,Perso,Couple avec au moins un enfant,35,9,46.0,Ile-de-France,B,100,35.0,0
110000023500001,1100000235000,1,1269.2590565,1.4,2,2007,136.0,8196.5771812,6.0,VT,Perso,Couple sans enfant,67,9,38.0,Ile-de-France,B,100,52.0,2
110000023500002,1100000235000,2,1269.2590565,2.5,2,2012,72.0,12073.412448,9.0,VT,Perso,Couple sans enfant,67,9,38.0,Ile-de-France,B,100,52.0,2
110000025500001,1100000255000,1,2449.2009614,0.9,1,2013,63.0,10591.218302,1.4,VT,Perso,Couple avec au moins un enfant,38,8,46.0,Ile-de-France,B,100,53.0,0
110000026400001,1100000264000,1,2109.9209117,1.3,1,2018,9.0,10983.4763,6.7,VT,Perso,Couple sans enfant,70,9,47.0,Ile-de-France,B,100,31.0,3
110000026500002,1100000265000,2,1962.4509697,1.6,2,2017,23.0,24884.711225,6.0,VT,Pro,Couple sans enfant,38,10,38.0,Ile-de-France,B,100,14.0,0
110000026500001,1100000265000,1,1962.4509697,0.9,1,2016,30.0,11024.623154,6.0,VT,Perso,Couple sans enfant,38,10,38.0,Ile-de-France,B,100,14.0,0
110000031300001,1100000313000,1,1381.2196187,,5,2000,215.0,10895.013248,7.0,VT,Perso,Couple avec au moins un enfant,50,4,53.0,Ile-de-France,B,100,52.0,0
110000031400001,1100000314000,1,4024.4868949,1.2,2,2006,138.0,12823.39779,6.0,VT,Perso,Famille monoparentale,32,7,43.0,Ile-de-France,B,100,34.0,0
